LIBERTAS AVG TR P VI IMP IIII COS III P P S C,libertas avgvsti tribvnicia potestate Ⅵ imperatoris Ⅳ consvlis Ⅲ patris patriae senatvs consvlto
LIBERTAS AVG P M TR P XI IMP VII COS V P P S C,libertas avgvsti pontificis maximi tribvnicia potestate ⅩⅠ imperatoris Ⅶ consvlis Ⅴ patris patriae senatvs consvlto
LIBERTAS AVG IMP II COS P P S C,libertas avgvsti imperatoris Ⅱ consvlis patris patriae senatvs consvlto
LIBERT AVG S C R XL,libertas avgvsti senatvs consvlto remissa quadragensima
P M TR P COS III LIB PVB,pontifex maximvs tribvnicia potestate consvl Ⅲ libertas pvblica
LIBERTAS AVGVST S C R XL,libertas avgvsti senatvs consvlto remissa quadragensima
SALVS ET LIBERTAS,salvs et libertas
Q CASSIVS LIBERT,qvintvs cassivs libertas
PONT MAX TR POT COS III S C LIBERTAS RESTITVTA,pontifex maximvs tribvnicia potestate consvl Ⅲ senatvs consvlto libertas restitvta
PAX ET LIBERTAS,pax et libertas
LIBERTATI,libertati
LIBERTAS RESTITVTA,libertas restitvta
LIBERT P M TR P XIII IMP VIII COS V P P,libertas pontifex maximvs tribvnicia potestate ⅩⅢ imperator ⅤⅢ consvl Ⅴ pater patriae
LIBERTAS COS IIII S C,libertas consvl Ⅳ senatvs consvlto
LIBERTAS AVGVS S C,libertas avgvsti senatvs consvlto
LIBERT AVG S C,libertas avgvsti senatvs consvlto
LIBERTAS P R,libertas avgvsti popvli romani
LIBERT AVG P M TR P XIIII IMP VIII COS V P P S C,libertas avgvsti pontifex maximvs tribvnicia potestate ⅩⅣ imperator Ⅷ consvl Ⅴ pater patriae senatvs consvlto
LIBERT AVG P M TR P XI IMP VII COS V P P,libertas avgvsti pontif
LIBERTAS,libertas
IVPPITER LIBERATOR,ivppiter liberator
IMPERATOR II S C LIBERT S C,imperator Ⅱ senatvs consvlto libertas senatvs consvlto
IMP II COS II P P S C LIBERTAS AVG,imperator Ⅱ consvl Ⅱ pater patriae senatvs consvlto libertas avgvsti
IMP CAESAR DIVI F COS VI LIBERTATIS P R VINDEX,imperator caesar divi filivs consvl Ⅵ libertatis popvli romani vindex
ADSERTOR LIBERTATIS,adsertor libertatis
